Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_01_1976.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_02_1977.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_03_1978.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_04_1979.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_05_1980.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_06_1981.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_07_1982.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_08_1983.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_09_1984.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_10_1985.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_11_1986.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_12_1987.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_13_1988.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_14_1989.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_15_1990.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_16_1991.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_17_1992.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_18_1993.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_19_2003.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_20_2004.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_21_2005.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_22_2006.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_23_2007.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_24_2008.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_25_1950.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_26_1951.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_27_1952.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_28_1953.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_29_1954.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_30_1955.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_31_1956.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_32_1957.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_33_1958.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_34_1959.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_35_1960.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_36_1961.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_37_1962.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_38_1963.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_39_1964.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_40_1965.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_41_1966.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_42_1967.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_43_1968.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_44_1969.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_45_1970.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_46_1971.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_47_1972.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_48_1973.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_49_1974.d	D:\PXD022216\fmeierab_T190525_CLL_diaPASEF_50_1975.d
O60341	O60341	KDM1A_HUMAN	KDM1A	Lysine-specific histone demethylase 1A	18869.1	12575.3	13218.5	17853.9	12569.1	16339	14304.1	17256.5	13382	15051.6	14120	14846.5	15098.2	15604	15987.4	14282.4	13200.6	16107.8	16136.7	13549.2	16203.3	12402.8	12525.2	13399.4	13016.2	17470.4	17790.1	15264.6	16290.1	15134.9	16086.7	18988	13872.3	15024.6	15275	13841.3	13853.7	14103.9	14956.4	14039.4	12574.3	12064.7	16352	14915	14679.5	16822.6	16471.6	13015	14733.8	13857.4
O60346	O60346	PHLP1_HUMAN	PHLPP1	PH domain leucine-rich repeat-containing protein phosphatase 1	3004.38				4020.19	4226.9	2913.9	4623.31	3206.23	7203.91				4376.07		4956.63		4440.96			3722.94			4847.46	2697.45	3575.53				3015.43	3479.34	2901.9						3177.48	4365.04	4180.91	4102.81		2780.07	3310.29		3054.38	3037.58		3772.31	
O60361	O60361	NDK8_HUMAN	NME2P1	Putative nucleoside diphosphate kinase	5924.34	5112.5	5963.68	5988.66				4387.29			6282.17	8344.09	9102.35	11926.7	8562.7	6086.83	5730	3964.4	5196.27		3619.36		4710.59		9223.82	4187.07	3382.93		4213.58			11548	6919.95	3926.27	6068.37	7582.16		3700.59	5150.27	5640.57	6353.72	6779.01	4211.84			3082.81	5271.6	3319.3	5309.48	
O60381	O60381	HBP1_HUMAN	HBP1	HMG box-containing protein 1	1123.4	2542.73	1454.04	2616.06	2555.95	2750.08	1765.08	1904.39	1792.21	1508.69	2428.76	1999.8	2810.83	2063.85	2392.05	2839.81	1938.81	2140.57	2676.31	2122.85	2245.83	1935.37	3286.81	2037.19	1657.01	2196.57	1549.61	1772.23	1764.59	1479.34	2660.39	2705.47	1595.32	2859.52	2084.02	2389.23	1646.23	1652.32	2040.98	1794.69	1664.35	1487.59	2507.68	1467.78	2638.39	2418.35	1923.61	1987.98	2353.64	1698.37
O60443	O60443	GSDME_HUMAN	GSDME	Gasdermin-E	12033	9243.59	14070.5	4149.68	10394.3	3436.91	6625.03	28394.4	1788.45	10047.6	5916.03	5346.6	4209.83	8333.46	25479.6	7038.14	6042.26	7782.46	8885.48	14779.8		11063	5905.29	4933.16	9331.83	15025.2	4159.93	15578.4	3923.63	5034.74	11881.9	2300.15	30653.9	13255.4	1526.74	10167.7		2422.92	13107.5	4724.14	18663.7	7940.58	4499.69	3961.41	3476.79	6966.22	15657.5	11984.3	4243.33	15983.4
O60449	O60449	LY75_HUMAN	LY75	Lymphocyte antigen 75	6802.69	10007.2	10890.2	11018.1	12988.5	11520.3	10290.6	13263.3	12888.7	13136.7	8431.15	11331.2	13863.1	12564.8	11833.7	8317.18	12427.6	11978.4	10729.7	8902.92	11235	14472.5	10748.7	10729.8	12247.8	18667.2	9485.74	14643.3	11950.5	13800.2	10236.2	9554.67	15648.8	11599.7	11649.2	9249.37	10389.3	11974.7	10083	12216.6	11312.4	11024.5	13742	11400.6	12464.2	10681	10615.4	16240.9	13987.5	10739
O60469	O60469	DSCAM_HUMAN	DSCAM	Down syndrome cell adhesion molecule	6975.89	23486.5	1260.61	5133.73	20702.7	9777.98	4795.87		13623.5	5442.25	8522.55	9434.76	12915.4	7659.7	5688.04	6736.34	4590.26	6850.31					36774.4	41977	3562.34		7217.77	22342.7	4637.69	6937.55				5903.94		27724.7	5430.28		1715.63	14648.9	5293.61	9252.86	7563.63	7812.59	10414.5		1669.7	6451.76		
O60476	O60476	MA1A2_HUMAN	MAN1A2	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB			976.624			399.201	783.402	1175.64		1569.02						992.867									417.259	992.014	1760.93		1355.43		1693.16		1085.89					574.797	1143.36				700.856	1038.85				852.685	925.922	1547.73
O60486	O60486	PLXC1_HUMAN	PLXNC1	Plexin-C1					877.707	452.854			535.096	1086.8					621.463		698.53	852.553							560.577		502.011			1002.76	499.108	902.615	465.01	1297.26	842.545		1028.84	770.778	371.78			347.507		530.545			1355.31	653.248	733.476	563.668
O60488	O60488	ACSL4_HUMAN	ACSL4	Long-chain-fatty-acid--CoA ligase 4	6817.02	5594.28	6352.44	7424.83	8009.22	5986.79	8976.51	5851.92	10262.5	8299.72	8287.93	6568.29	6891.98	6879.82	7008.62	5152.15	6463.1	9486.43	6575.29	8618.89	5814.56	9561.13	8699.71	8796.71	7022.22	7044.65	8301.96	7311.48	8950.11	10649.3	8564.55	6444.75	7290.05	9873.32	8941.86	9579.78	8157.42	6509.29	6681.8	8274.88	6486.89	7949.13	6789.63	7280.48	7060.9	7689.08	8310.4	8287.63	9741.94	7126.97
O60493	O60493	SNX3_HUMAN	SNX3	Sorting nexin-3	24308.4	49410.3	27823.7	25703.1	26178.8	31467.9	26063.8	25935.8	28821.4	22955	30176.5	36222	29783.9	28090.7	27547.4	31703.4	33036.4	21990.1	26911	58197	37670.8	35510.6	32865.9	33762.8	29539.3	27142.9	32643.6	28833.1	29011.9	24281.7	22703.1	21224.8	20089.5	33808.3	33029	16390.5	38608.8	26049.6	29279.5	32692.2	30286.6	35801.3	25888	32391.5	36009.6	26596.6	31455.1	32575.4	19109.4	16196.5
O60496	O60496	DOK2_HUMAN	DOK2	Docking protein 2	5923.64	15134.7	12256.7	9655.49	10678.5	17025.9	14538.5	4135.51	12061.8	12302.5	21026.1	12617.3	7008.6	17412.8	15184.2	14640.3	30642.3	8950.4	10472.4	35142	10209.5	18123.1	22118.2	16140.8	28728.1	13660.2	10153.3	3832.45	16117.3	25858.7	7630.61	4153.23	5776.09	24712.5	19616.1	5006.77	19205.9	6125.59	14089.3	28387.3	11661.2	22474.1	10675.9	17886.9	9143.86	7509.52	23846	32337	42728.7	8792.78
O60499	O60499	STX10_HUMAN	STX10	Syntaxin-10	7915.34	6100.01	7657	7501.85	7366.37	7819.06	6828.23	8146.57	6858.96	6764.14	8190.07	8388.73	7872.87	8246.05	7449.15	7599.11	8598.17	7078.4	8858.01	8556.65	7502.94	7907.97	6065.14	7281.55	6664.58	7773.38	7223.27	8411.63	6950.14	7991.03	5356.71	4755.92	5243.48	7605.09	7580.63	6959.54	7426.89	8265.44	8646.44	7349.8	9284.85	7516.77	7773.69	7019.86	5817.93	5736.89	6015.41	6967.08	6917.75	7470.62
O60502	O60502	OGA_HUMAN	OGA	Protein O-GlcNAcase	25213.8	16623.4	18701.7	18242.1	14538.8	20418.7	18064.4	20135	12342	20327	12914.5	19388.4	16206.3	15286.2	14029.7	18427.9	15343.7	19322.2	24873.7	11828.5	16417	16804.8	12071	11823.1	17975.6	26277.5	22575.2	15480.9	21995.6	9941.74	18450	14702.5	18778.9	17717.9	19337.8	7074.7	8426.05	20986.3	20603.6	17314.8	26906.5	12185.8	25658.7	20705.1	16525.4	24885.1	18671.1	20858	17819	21828.4
O60504	O60504	VINEX_HUMAN	SORBS3	Vinexin	2020.49		1510.81		1976	1858.58	1130.67	1503.32		1570.28	2676.61	656.764	1372.55		2170.64			1051.63	1881.62		1465.73	1165.21	2088.17	1452.46	1868.42	1457.97	2422.5		1672.2	2021.74	2206.85	1325.88		1801.14	1904.55		1948.24	2001.56	1438.36	2451.79	1665.45	798.021	2197.47		1115	1636.78	1141.29	1514.96	2366.62	2841.57
O60506	O60506	HNRPQ_HUMAN	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	122916	68253.3	152216	108843	67938.4	104690	101384	128410	55557.3	95569.5	59039.6	94695.5	85972.8	89971.2	96748.2	103896	118669	109456	102793	74487.4	87937.3	44354.6	52676.6	47044.1	108430	118331	106116	64327.8	102742	44823.2	105492	52730.1	75385.2	92930.1	106541	44204.2	83293.3	116603	127303	78181.4	142944	83485.5	94320	89585.7	69316.1	105480	118777	118484	105878	86517.9
O60508	O60508	PRP17_HUMAN	CDC40	Pre-mRNA-processing factor 17	21089.2	17584.5	21734	21228.3	15604.8	17761.2	17221.9	19712	16587	18130.8	16064.1	18042.7	19742.5	21492.2	18755.2	19863.8	16668.3	18517.4	22140	13630.7	19680	17326.7	16691	17914.2	15537.9	17247.9	18749.5	16623.1	18357.1	11691.8	17011.5	15099.9	16421.9	16956.8	17324.9	14193.1	16825.6	17760.3	19816.1	14515	21020.7	19099.7	19085.5	18904.6	17532.1	20291.2	16395.4	14966.9	17480.1	15523.1
O60518	O60518	RNBP6_HUMAN	RANBP6	Ran-binding protein 6	4333.84	2878.44	1649.08	1779.7	2827.38	3632.6	4927.59	3588.48	4318.23	2907.23	3367.07	2943.52	2952.14	3372.45	2786.68	2714.7	2964.37	2487.63	1922.82	694.051	1691.89	4230.41	1186.23	4546.01	3621.17	2493.23	3553.8	3578.71	2771.01	2329.76	2216.73	3618.57	2350	3150.21	3252.56	4823.74	2086.31	2632.33	2910.66	4431.96	4033.66	2986.72	2717.67	3632.27	4291.06	2554.05	2982.91	2801.74	2976.26	2176.14
O60524	O60524	NEMF_HUMAN	NEMF	Nuclear export mediator factor NEMF	8541.29	5614.08	6990.56	5512.6	7357.96	5854.2	7671.45	7140.3	6367.8	5369.61	4928.54	7346.33	5628.02	6798.16	5428.74	7074.96	6292.31	7684.4	7472.61	5566.62	8207.73	8211.36	7662.38	6928.19	6129.19	6327.97	6060.76	6376.25	6053.06	6138.53	7494.86	5474.63	6973.44	5334.34	5652.95	5002.93	6455.98	6828.32	6962.95	6718.32	6770.21	6905.66	8502.25	7279.6	7328.08	6577.57	7208.01	8473.34	5558.87	8389.08
O60547	O60547	GMDS_HUMAN	GMDS	GDP-mannose 4,6 dehydratase	29109.4	16776.3	36904.6	20057.8	14471.6	13525.3	26482.2	30014.4	17834	28758.7	20718.1	22965.3	22706.8	21615.3	19094.9	17490.6	18683.9	26866.7	25746.5	15647.3	17283	26319	16133.9	6547.55	17055.5	25820.4	16309.3	24986.1	19001.4	12488.1	18983.2	10474.8	33655.2	22330.5	20565.3	18332.9	18894	23914	26821.8	16351.8	34015.1	15484	24361	17550.5	17935.4	17765.4	22979.8	17166.5	23185.7	30676.3
O60551	O60551	NMT2_HUMAN	NMT2	Glycylpeptide N-tetradecanoyltransferase 2	2052.38	2150.33	1558.33	2615.52	1058.81	2320	1731.16	4600.14	1580.18	1116.82	2592.1	3338.28	2689.19	2162.8	423.422	1644.48	1441.21	3169.85	3687.08	1542.05	1986.41	2352.77	2678.69	2575.39	1082.94	3140.11	1596.69	2137.27	1391.53	3952.78	2844.28	1670.86	1645.08	3565.02	2002.81	1804.04	852.518	2663.89	1767.18	1911.55	1939.87	1241.2	4061.23	1466.83	1989.59	2450.13	1202.97	2640.6	5456.21	4404.41
O60563	O60563;O60583	CCNT1_HUMAN	CCNT1	Cyclin-T1	5068.61	3151.16	4868.15	5329.06	3019.1	3862.42	3863.49	4704.75	4517.96	4975.63	4566.55	4108.37	5455.14	4587.54	5449.32	5036.9	6467.45	4522.59	3974.86	4761.38	3939.64	3834.19	4734.68	4417.19	4637.46	5006.05	4876.93	3923.83	4929.57	3747.51	4159.2	5421.9	4825.31	3650.05	5119.18	5224.96	4166.03	4009.75	5539.11	4970.74	4456.88	4910.82	4671.18	5121.7	4267.81	5574.69	4933.38	4330.13	4470.09	3881.59
O60568	O60568	PLOD3_HUMAN	PLOD3	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3	3459.34	3631.02	4468.73	3543.47	3735.98	3570.73	3696.43	5390.63	2983.08	3273.73	3988.9	3672.6	4377.69	5315.17	6408.06	3900.61	3573.4	3943.96	4678.26	1958.27	4381.76	3761.56	2148.11	1938.35	7011.49	4937.78	3858.15	3358.55	3587.35	6619.57	4417.41	8300.3	3445.12	2776.34	4689.06	5419.07	4214.69	4680.15	3013.23	3435.3	3631.52	3256.85	3490.43	3742.02	4486.38	5045.93	5076.22	3760.22	4160.79	4620.1
O60573	O60573	IF4E2_HUMAN	EIF4E2	Eukaryotic translation initiation factor 4E type 2	3183.39	3284.98	3350.46	2463.25	2853.57	2850.74	2774.33	2516.45	1725.07	2935.62	2404.49	1871.43	2244.65	2751.36	2437.82	3271.02	2339.48	2817.61	2949.98	1447.34	2147.8	2660.16	2305.25	2801.04	1993.02	2914.08	2737.76	2309.57	2540.68	4853.1	2529.78	2504.43	1423.52	2480.99	1802.92	2224.69	2663	2887.63	2375.94	2418.03	3396.92	2383.36	2029.94	2414.72	2346.14	2569.3	2575.38	3051.47	2858.18	2397.37
O60583	O60583	CCNT2_HUMAN	CCNT2	Cyclin-T2	706.976		1511.26	705.11			410.79			810.201						370.84	575.876	876.566			667.745				290.672	470.486	596.684		782.557		563.07	933.671		410.445	632.853			858.139		293.231	768.358		921.231	397.417		691.484	569.046	959.871	1048.89	715.452
O60603	O60603	TLR2_HUMAN	TLR2	Toll-like receptor 2	1935.55	2960.45		732.021	1307.17	1515.92	1249.49		2548.51	2333.02	3125.44	968.731	1535.36	2079.58	1046.29		1303.4	2114.92	959.682	2306.31	546.708	3481.69	2205.39	2415.89	1288.15	1356.82	2061.32	1247.74	1960.2	5409	2169.8	897.583	1092.61	6420.85	3440.43	2195.02	2678.04		1281.5	1991.79	1908.35	1550.68	2207.11	2410.36	3304.75	1786.01	1742.47	2854.53	1773.67	445.583
O60610	O60610	DIAP1_HUMAN	DIAPH1	Protein diaphanous homolog 1	25741.4	33249.8	30454.1	26194.8	33333.1	34458.9	30390.8	29536.8	33623.3	32308.1	45819.1	28748.7	33574.5	26942.7	21560.8	27497.2	37239	35384.5	22559.1	34479.9	25088.3	36155.9	38102.1	28206.8	33856.5	31954.6	28779.3	25882.2	28893.7	42970	35028	25011.3	19940.4	47621.1	39062.8	17945	44835.1	42583.1	34970.1	42268.8	38163.1	36091.3	32288.5	36898.2	31679.1	25668.7	27668.6	35401.8	48128.4	27911.4
O60613	O60613	SEP15_HUMAN	SELENOF	Selenoprotein F	20463.1	26776.8	22601.8	22356.1	30744.5	22828.8	20962.5	17823.8	28769.8	21480.6	21256.8	18710.8	24925.2	20724.6	37634.5	23480.3	19565.6	22505.5	19732.8	23457.2	24734.4	22278.6	26227.2	27256.7	22000	24791.5	26422.2	26512.1	26166	45343	17546.2	29440.2	24114	24952.7	27523	22447.8	24625.5	19966.3	18208.7	25871.1	21703.6	28451.2	16472.2	25168.9	27490.4	26068.2	25221	25723.1	29539	11819.3
O60645	O60645	EXOC3_HUMAN	EXOC3	Exocyst complex component 3	11251.2	11582.6	12404.8	10430.6	11309.4	10632.3	11171.9	10183.5	9946.41	9404.77	10862	10907.2	11905.5	11225	11727.3	13237	11669.9	11437	14039	9306.47	9703.48	9751.88	10050.8	11470.9	11170.9	10090	10564.9	9682.84	11260.9	10085	11919.4	8363.35	10448.2	10331.2	11267	6984.7	11979.9	11132	10284.8	11726	11490.9	9645.07	10080.7	9535.56	10267.4	10894.4	10714.5	11199.3	10108.5	9947.7
O60664	O60664	PLIN3_HUMAN	PLIN3	Perilipin-3	70304.5	24329.6	53006.7	52554.4	42061.2	66101.1	61308.6	69455.7	33840	41233.6	66025	63238.3	44723.3	61617.2	47603.6	63870.4	57866.2	59490.5	68050.5	39744.1	59257.9	38135.4	54102	37112.6	47885.4	58847.7	50975.3	38580.7	43053.1	23819.7	60102.9	62522.6	35373.6	66483	75247.4	21688.4	68083.3	68339.9	40284.9	33847.7	52825.9	46057.7	66931.4	44313.9	63458.5	43460.6	58714	41741.3	50334.9	45975.2
O60667	O60667	FAIM3_HUMAN	FCMR	Fas apoptotic inhibitory molecule 3	4024.94	4847.05	16654.1	7902.16	6183.23	11974.6	7813.68	11618.1	1914.16	10151.3	2981.03	10348.4	10041.2	4607.39	10302.1	8905.05	5823.76	7065.73	11435.1	6495.72	5892.06		2987.39	5503.08	4732.62	9151.71	4926.1	3004.09	3235.45	4165.15	2643.53	4417.12	6397.93	3802.37	4668.67	11500.8	1463.93	17434.9	7288.82	2407.81	10468.8	3174.08	14816.9	6025.4	7306.43	7705.42	4840.77	6510.03	3195.23	8971.25
O60671	O60671	RAD1_HUMAN	RAD1	Cell cycle checkpoint protein RAD1	7387.52	7333.97	7508.18	9220.37	7288.38	7063.17	5961.89	7389	5521.56	5196.81	7577.56	9532.68	6459.86	5185.92	9019.29	7542.46	9206.86	9961.08	5890.59	8375.67	7571.99	4799.87	3896.75	5104.21	7167.3	8083.99	7219.4	2864.91	6635.17	6094.47	5924.9	4271.94	4903.4	5806.68	7249.63	5498.45	5893.03	7323.11	7036.39	5494.66	7508.05	5416.29	7528.57	5413.78	7172.78	7205.78	7199.78	5971.51	7559.01	8103.05
O60673	O60673	REV3L_HUMAN	REV3L	DNA polymerase zeta catalytic subunit						2202.88	2595.92										2288.59	3116.83										1706.63				2340.89			2492.71							1243.08	2514.1	1746.67			1782.08		2633.79	
O60674	O60674	JAK2_HUMAN	JAK2	Tyrosine-protein kinase JAK2	1240.15	1587.73	1689.79	1616.67	1234.75	3256.97	1291.48	2559.94	2029.32	2067.26	1803.21	1718.99	1085.62	1189.46	1140.87	1820.82	2479.15	2913.27	1232.54	1716.25	2277.19	3331.48	1555.75		1765.68	1611.84	1922.83	400.783	1620.42	1348.28	1875.54	978.247	2218.68	1767.08	2671.63	1370.99	2648.7	3433.7	1967.82	2010.19	2566.5	1292.82	1934.48	1916.93	1611.94	2187.47	1559.38	2730.01	1923.99	2006.69
O60678	O60678	ANM3_HUMAN	PRMT3	Protein arginine N-methyltransferase 3	689.105	321.246	545.206	254.742		255.224	434.832	311.539	235.534	756.064	494.752	442.484	699.931	597.886	260.236	320.836	782.806		426.449					483.293	383.607	425.039	375.938	127.959	462.76	409.661	417.845		490.035	424.645	363.17			394.221	604.378		615.064		422.405	371.034	99.6705	172.056	422.888	433.703	445.572	621.952
O60683	O60683	PEX10_HUMAN	PEX10	Peroxisome biogenesis factor 10	2506.04	2021.63	2042.22	2443.49	1736.16	2104.1	2605.96	2738.29	2363.73	1903.65	1873.01	2545.99	2000.99	2524.29	2626.55	3245.43		2664.95		2247.34	1867.94				2859.44	2551.84	1648.15	2171.44	2683.17	2293.87	2048.87	4120.33	3465.45	2192.82	1402.22	2382.41	685.079	1703.59	2254.96	2105.66	1872.65	2511.13	2055.71	2089.33	2324.04	1750.56	2075.97	2080.93	1748.4	3583.96
O60684	O60684	IMA7_HUMAN	KPNA6	Importin subunit alpha-7	22064.9	13004.3	19336.2	20606.4	11015.9	19589.1	17239.3	19151.5	14855.1	14886.4	18404.6	21547.1	20881.6	20114.6	19872.8	20232.7	20454.8	20837.4	18897.1	18245.8	17841.3	12783.6	14546.7	14526.3	22570	20564.6	19985.4	15286.8	19541	15183.6	18408.6	28045.5	19149.5	18045	19192.5	16713.7	18192.2	21396.6	21781.7	18344.9	18744.5	15554.5	19353.2	20127.3	15795.9	23951.7	24636.8	20350.1	22975.8	21318.7
O60701	O60701	UGDH_HUMAN	UGDH	UDP-glucose 6-dehydrogenase	11360.8	4255.95	12104.3	4338.92	4955.31	8918.29	7536.48	13728	5157.98	10239.2	5103.16	4422.5	6816.17	11769	4125.94	4598.91	4397.42	9083.25	6951.89	4524.54	6675.19	9602.99	4988.23	6388.36	6923.59	10323.4	5271.12	8465.97	5394.78	5694.15	6347.85	9307.3	9584.66	6115.01	5174.18	9020.16	3834.57	7615.94	7806.64	6421.4	13079.2	5189.62	8401.99	9884.99	5814.92	6935.48	6949.11	4789.83	6532.17	17439.4
O60704	O60704	TPST2_HUMAN	TPST2	Protein-tyrosine sulfotransferase 2	1123.85		1279.51	1135.7		850.751	1263.85	1008.06		2450.66	1383.84	1381.89	834.824		2170.97				1001				654.23		1420.73	1319.16	1662.76	1616.26	1429.15	3037.87	1362.35	2153.52	2442.87	933.626	1688.15		1106.76	1054.81	1841.77	1195.01	1445.45		3163.01	1478.16	1384.51	2070.62	830.783	1800.83	2604.39	4640.05
O60711	O60711	LPXN_HUMAN	LPXN	Leupaxin	28801.7	43416.8	32401.7	43190.1	42063.3	27880.9	37060.7	30846	51422.9	30135.5	46917	31145.8	22522.1	37035.3	27412.6	23729.9	54620.5	31678.4	26481.5	45647.1	32965	51486.4	58323.7	35424.8	37535.5	32909.8	35107.5	42002.4	39718.4	43128.6	43389.1	29241.5	35091.2	45662.8	41035.5	21474.3	58453.2	39666.2	43290	39250.7	36747.9	73234.3	34081	49556.2	34302.1	29380.6	34139.7	35687	48652.7	37490.7
O60725	O60725	ICMT_HUMAN	ICMT	Protein-S-isoprenylcysteine O-methyltransferase			1884.44			950.683	1478.86			1938.68		722.12						1388.38	1259.71					1725.98	1051.25	985.656	1136.51				1517.9	2042.44	2198.55	1352.76	1092.63		567.93	1222.32	1288.76	1076.29					1187.65	1090.11	1701.17	1271.44	2000.81	2008.58
O60749	O60749	SNX2_HUMAN	SNX2	Sorting nexin-2	84042.1	80121.9	91057.1	105027	64744.7	93297.9	107629	90952.4	108003	112288	96090.2	90272.4	98692.9	72817.9	66999.4	109727	104258	84897.7	82691.7	176010	83459.4	73658.3	90625.2	74767.2	106629	104085	127593	68987.2	117802	59792.6	88907.8	53095.3	93930.1	127740	131840	42835.8	85167.1	78715.6	99259.2	106209	89802.9	81995.5	126551	108716	89304.1	138613	103017	162254	80233.8	96534.8
O60759	O60759	CYTIP_HUMAN	CYTIP	Cytohesin-interacting protein	1515.4		1426.27	2133.42		1976.59	2174.53	1815.59		2445.33	3285.19	4608.99	2243.03	2626.22		4278.08	1787.76	1428.16	1316.95	3846.78	1987.77	3531.65	3113.77	2355.65	1501.28	882.526	1206.27		2083.36		2333.46	827.583	2265.01	1729.54	2875.5	2175.88	3158.87	2158.37	2511.21		3609.21		2985.87		2889.3	2878.2	1128.06	2605.6	2946.08	2236.62
O60762	O60762	DPM1_HUMAN	DPM1	Dolichol-phosphate mannosyltransferase subunit 1	41805.8	27946.7	24600.4	29239	29078.7	40419.4	38598.9	49795.6	25697.1	32496.5	50522.1	51588.2	43537.5	36513.5	55839.2	49065.1	37158	43511.3	54823.5	39102	46726.4	25005	30604.4	30861.4	45132.2	38847.3	31760.6	26948.1	30383.9	18683.5	42887.4	43756.9	45081.7	33694.2	37832.9	46035	31330.5	42579.5	35229.7	20097.6	39538.9	29945	34418.2	42862.6	43401.6	33905.8	40930	33791.2	38193.4	36356.7
O60763	O60763	USO1_HUMAN	USO1	General vesicular transport factor p115	35658	27797.5	33958.6	29165.7	24408.9	31636.2	30912.8	38609.5	28069.6	38477.1	33134.2	27264	32168.2	30058.7	36810.3	30309	29632.3	30003.8	33264.2	30021.3	27491.4	30563.9	27220.9	30655.9	34657.3	32990	35274.8	28230.7	35823	26036.6	32490.9	28013.3	35144.6	32273.3	28897.5	24463.7	32241.4	32801.2	36921.1	32357.6	34417.4	28600.3	33299.4	32422.8	29279.7	34391.4	38387.2	33463.2	33570	31302.3
O60783	O60783	RT14_HUMAN	MRPS14	28S ribosomal protein S14, mitochondrial	2874.04	3531.61	4543.74	3204.97	2158.99	4018.87	2893.52	2865.08	2479.04	3309.06	3483.86	3941.74	4715.07	3533.6	3130.25	5010.77	3903.78	3149.95	5939.84	1722.05	4681.41		3265.08	2889.61	5552.14	4705.99	3757.98	3143.57	3851.75	4308.94	1955.62	3679.79	2031.35	3152.83	2934.24	8862.06	3645.84	3572.52	4290.07	2296.12	6415.22	2448.89	2961.12	4264.98	4295.59	3422.73	3901.46	2570.26	3542.97	1830.84
O60784	O60784	TOM1_HUMAN	TOM1	Target of Myb protein 1	13129	17482.2	16780.3	21029.9	13039	20558.4	14416.1	16061.1	12601.4	11438.4	18591.6	12209.8	12299.8	7013.44	14420.5	12949.3	15321.5	15368.3	13924.1	15880.2	19594.1	10422.4	17195.9	15084.9	15871.4	18034.2	23459.4	12689.2	13938.8	12666.9	17327	14085.1	15652.5	22390.7	19764.9	10559.3	18886.7	20002	14291.5	15625.4	16816	12995.9	15093	16811.4	20268.5	13609.9	22208.1	15235.3	10419	9584.56
